cgpa,clarity,workload,strictness,fairness,historical_grade
8.47,4.37,2.47,2.58,4.58,10
7.36,3.35,2.96,3.0,3.54,8
8.05,3.35,2.96,3.0,3.54,8
8.02,3.35,2.96,3.0,3.54,8
7.04,3.35,2.96,3.0,3.54,7
7.99,3.35,2.96,3.0,3.54,8
7.42,3.35,2.96,3.0,3.54,8
6.02,3.35,2.96,3.0,3.54,6
7.35,3.35,2.96,3.0,3.54,8
6.89,3.35,2.96,3.0,3.54,7
8.65,3.35,2.96,3.0,3.54,9
6.53,3.35,2.96,3.0,3.54,6
7.56,3.35,2.96,3.0,3.54,8
7.16,3.35,2.96,3.0,3.54,7
7.39,3.35,2.96,3.0,3.54,7
8.0,3.35,2.96,3.0,3.54,9
6.79,3.35,2.96,3.0,3.54,6
7.71,3.35,2.96,3.0,3.54,8
8.01,3.35,2.96,3.0,3.54,9
7.48,3.35,2.96,3.0,3.54,8
7.51,3.35,2.96,3.0,3.54,7
7.39,3.35,2.96,3.0,3.54,8
8.07,3.35,2.96,3.0,3.54,8
7.83,3.35,2.96,3.0,3.54,8
8.38,3.35,2.96,3.0,3.54,9
7.55,3.35,2.96,3.0,3.54,8
7.89,3.35,2.96,3.0,3.54,9
6.17,1.56,4.33,4.0,1.72,4
9.46,1.56,4.33,4.0,1.72,9
7.41,1.56,4.33,4.0,1.72,6
8.26,1.56,4.33,4.0,1.72,7
6.31,1.56,4.33,4.0,1.72,5
8.37,1.56,4.33,4.0,1.72,7
7.63,1.56,4.33,4.0,1.72,6
9.11,1.56,4.33,4.0,1.72,7
7.84,1.56,4.33,4.0,1.72,7
8.62,1.56,4.33,4.0,1.72,8
8.18,1.56,4.33,4.0,1.72,7
6.18,1.56,4.33,4.0,1.72,4
8.79,1.56,4.33,4.0,1.72,8
9.6,1.56,4.33,4.0,1.72,9
7.59,1.56,4.33,4.0,1.72,6
6.49,1.56,4.33,4.0,1.72,4
8.5,1.56,4.33,4.0,1.72,8
7.07,1.56,4.33,4.0,1.72,6
8.67,3.46,2.98,3.0,3.52,10
8.57,3.46,2.98,3.0,3.52,10
7.26,3.46,2.98,3.0,3.52,7
8.75,3.46,2.98,3.0,3.52,10
8.21,3.46,2.98,3.0,3.52,8
8.25,3.46,2.98,3.0,3.52,9
6.42,3.46,2.98,3.0,3.52,5
8.16,3.46,2.98,3.0,3.52,9
8.2,3.46,2.98,3.0,3.52,8
7.48,3.46,2.98,3.0,3.52,9
7.29,3.46,2.98,3.0,3.52,7
7.88,3.46,2.98,3.0,3.52,8
8.38,3.46,2.98,3.0,3.52,9
8.37,3.46,2.98,3.0,3.52,9
8.48,3.46,2.98,3.0,3.52,8
9.43,3.46,2.98,3.0,3.52,10
7.64,3.46,2.98,3.0,3.52,8
7.76,3.46,2.98,3.0,3.52,8
7.34,3.46,2.98,3.0,3.52,8
7.27,3.46,2.98,3.0,3.52,8
6.95,3.46,2.98,3.0,3.52,7
8.74,3.46,2.98,3.0,3.52,9
8.65,3.46,2.98,3.0,3.52,9
6.59,3.46,2.98,3.0,3.52,6
8.53,3.46,2.98,3.0,3.52,8
7.17,3.46,2.98,3.0,3.52,8
6.36,3.46,2.98,3.0,3.52,6
8.25,3.46,2.98,3.0,3.52,8
7.01,3.46,2.98,3.0,3.52,7
6.63,3.46,2.98,3.0,3.52,6
6.53,3.46,2.98,3.0,3.52,7
6.64,3.46,2.98,3.0,3.52,7
6.25,3.46,2.98,3.0,3.52,6
6.04,3.46,2.98,3.0,3.52,6
7.15,3.46,2.98,3.0,3.52,7
7.58,3.46,2.98,3.0,3.52,8
7.87,3.46,2.98,3.0,3.52,8
9.03,3.46,2.98,3.0,3.52,9
7.0,3.46,2.98,3.0,3.52,8
7.45,3.46,2.98,3.0,3.52,8
6.2,3.46,2.98,3.0,3.52,6
7.57,3.46,2.98,3.0,3.52,7
9.36,3.46,2.98,3.0,3.52,10
7.75,3.46,2.98,3.0,3.52,7
7.64,3.46,2.98,3.0,3.52,8
8.11,3.46,2.98,3.0,3.52,8
6.39,3.46,2.98,3.0,3.52,8
7.16,3.46,2.98,3.0,3.52,7
6.69,3.46,2.98,3.0,3.52,7
7.94,3.46,2.98,3.0,3.52,9
6.95,3.4,3.03,3.0,3.53,8
7.28,3.4,3.03,3.0,3.53,8
7.33,3.4,3.03,3.0,3.53,7
5.7,3.4,3.03,3.0,3.53,6
8.9,3.4,3.03,3.0,3.53,10
9.18,3.4,3.03,3.0,3.53,10
7.81,3.4,3.03,3.0,3.53,8
7.42,3.4,3.03,3.0,3.53,7
7.15,3.4,3.03,3.0,3.53,7
7.78,3.4,3.03,3.0,3.53,8
7.36,3.4,3.03,3.0,3.53,7
8.17,3.4,3.03,3.0,3.53,9
8.07,3.4,3.03,3.0,3.53,9
8.18,3.4,3.03,3.0,3.53,7
7.24,3.4,3.03,3.0,3.53,8
7.96,3.4,3.03,3.0,3.53,9
8.01,3.4,3.03,3.0,3.53,9
7.77,3.4,3.03,3.0,3.53,8
8.14,3.4,3.03,3.0,3.53,8
6.04,3.4,3.03,3.0,3.53,6
9.02,3.4,3.03,3.0,3.53,9
8.4,3.4,3.03,3.0,3.53,9
7.04,3.4,3.03,3.0,3.53,8
7.39,3.4,3.03,3.0,3.53,7
8.01,3.4,3.03,3.0,3.53,9
6.46,3.4,3.03,3.0,3.53,7
7.67,3.4,3.03,3.0,3.53,8
7.27,3.4,3.03,3.0,3.53,7
7.81,3.4,3.03,3.0,3.53,9
5.56,3.4,3.03,3.0,3.53,6
5.4,3.4,3.03,3.0,3.53,5
6.47,3.4,3.03,3.0,3.53,7
7.83,3.4,3.03,3.0,3.53,7
8.16,3.4,3.03,3.0,3.53,9
8.21,3.4,3.03,3.0,3.53,9
6.93,3.4,3.03,3.0,3.53,7
6.25,3.4,3.03,3.0,3.53,7
8.75,3.4,3.03,3.0,3.53,10
7.21,3.4,3.03,3.0,3.53,7
8.6,3.4,3.03,3.0,3.53,10
